	shannon_entropy
109-FP-ILE	2.5186339570619976
408-ILE	3.240401724059535
411-ILE	0.6882176801459633
561-ILE	2.847479080346475
569-ILE	3.087533319279175
570-ILE	4.045166795776681
675-FP-ILE	0.30302246012059914
681-FP-ILE	2.3965607095387744
690-FP-ILE	2.2557048181682764
704-ILE	2.277723251075476
708-ILE	2.0325902121974324
729-ILE	2.1183614724717934
732-ILE	2.5299851249299206
747-ILE	3.7496592809120433
741-ILE	2.3827699023450553
749-ILE	2.572233195934655
750-ILE	0.5853356594064022
781-FP-ILE	1.5082765566819079
782-FP-ILE	1.5192037137174887
786-FP-ILE	2.941854747799932
814-ILE	2.5686320891906957
825-ILE	3.0547640978257786
828-ILE	1.8147271996481649
850-ILE	3.4291095472539905
865-FP-ILE	2.1442552793294407
868-FP-ILE	3.170222486319045
968-ILE	6.5585973219164995
970-ILE	0.38445721136462524
