feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ARO.PWY	Sex	Male	1.60764112513434	0.472929173477043	28	28	0.00227061711076367	0.237498427272628
COMPLETE.ARO.PWY	Sex	Male	1.44933261544838	0.425177674065915	28	28	0.00221782695260785	0.237498427272628
GLYCOL.GLYOXDEG.PWY	Sex	Male	-2.94843046243195	1.01068201224638	28	26	0.00735929554850601	0.237498427272628
HISDEG.PWY	Sex	Male	2.22282860060936	0.73537086321821	28	28	0.00571686473750914	0.237498427272628
NONMEVIPP.PWY	Sex	Male	1.39349560287143	0.439711247378407	28	28	0.00400771416499101	0.237498427272628
PWY.5121	Sex	Male	1.21901961878847	0.396126767283556	28	28	0.005010332066857	0.237498427272628
PWY.5659	Sex	Male	1.32655652858802	0.425061423965759	28	28	0.00450812821858872	0.237498427272628
PWY.6125	Sex	Male	-0.842425942270881	0.270340423322151	28	28	0.00455985841813555	0.237498427272628
PWY.6163	Sex	Male	1.48323236166111	0.430649921497945	28	28	0.00203029981493206	0.237498427272628
PWY.7184	Sex	Male	-0.96311713514716	0.307745560883258	28	28	0.0044133535006819	0.237498427272628
PWY.7187	Sex	Male	-0.664865066345804	0.228915540869515	28	28	0.00758780917803924	0.237498427272628
PWY.7197	Sex	Male	-1.01252414757671	0.313383147821677	28	28	0.00344421700358477	0.237498427272628
PWY.7228	Sex	Male	-0.862487776154516	0.282639652169168	28	28	0.00533301220167152	0.237498427272628
PWY.7560	Sex	Male	1.39349560287143	0.439711247378407	28	28	0.00400771416499101	0.237498427272628
PWY.841	Sex	Male	-0.696789034083796	0.238184590657758	28	28	0.00721787226096759	0.237498427272628
PWY0.1061	Sex	Male	1.73513160209005	0.525943913631271	28	28	0.00291182607562022	0.237498427272628
PWY0.1533	Sex	Male	2.72223302628654	0.914548663693334	28	16	0.00638713014114837	0.237498427272628
PWY0.162	Sex	Male	-0.816478197242703	0.265879518920131	28	28	0.00508968303037449	0.237498427272628
PWY0.166	Sex	Male	-0.668716064771296	0.230023507542926	28	28	0.00753833426075308	0.237498427272628
RHAMCAT.PWY	Q22		-2.50799188212979	0.790176877976684	28	28	0.00396050870799809	0.237498427272628
DENOVOPURINE2.PWY	Sex	Male	-0.692232333964183	0.241368299982804	28	28	0.00827314036626891	0.246618374727826
