feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ARO.PWY	Sex	Male	1.60764112513434	0.472929173477043	28	28	0.00227061711076367	0.237498427272628
COMPLETE.ARO.PWY	Sex	Male	1.44933261544838	0.425177674065915	28	28	0.00221782695260785	0.237498427272628
GLYCOL.GLYOXDEG.PWY	Sex	Male	-2.94843046243195	1.01068201224638	28	26	0.00735929554850601	0.237498427272628
HISDEG.PWY	Sex	Male	2.22282860060936	0.73537086321821	28	28	0.00571686473750914	0.237498427272628
NONMEVIPP.PWY	Sex	Male	1.39349560287143	0.439711247378407	28	28	0.00400771416499101	0.237498427272628
PWY.5121	Sex	Male	1.21901961878847	0.396126767283556	28	28	0.005010332066857	0.237498427272628
PWY.5659	Sex	Male	1.32655652858802	0.425061423965759	28	28	0.00450812821858872	0.237498427272628
PWY.6125	Sex	Male	-0.842425942270881	0.270340423322151	28	28	0.00455985841813555	0.237498427272628
PWY.6163	Sex	Male	1.48323236166111	0.430649921497945	28	28	0.00203029981493206	0.237498427272628
PWY.7184	Sex	Male	-0.96311713514716	0.307745560883258	28	28	0.0044133535006819	0.237498427272628
PWY.7187	Sex	Male	-0.664865066345804	0.228915540869515	28	28	0.00758780917803924	0.237498427272628
PWY.7197	Sex	Male	-1.01252414757671	0.313383147821677	28	28	0.00344421700358477	0.237498427272628
PWY.7228	Sex	Male	-0.862487776154516	0.282639652169168	28	28	0.00533301220167152	0.237498427272628
PWY.7560	Sex	Male	1.39349560287143	0.439711247378407	28	28	0.00400771416499101	0.237498427272628
PWY.841	Sex	Male	-0.696789034083796	0.238184590657758	28	28	0.00721787226096759	0.237498427272628
PWY0.1061	Sex	Male	1.73513160209005	0.525943913631271	28	28	0.00291182607562022	0.237498427272628
PWY0.1533	Sex	Male	2.72223302628654	0.914548663693334	28	16	0.00638713014114837	0.237498427272628
PWY0.162	Sex	Male	-0.816478197242703	0.265879518920131	28	28	0.00508968303037449	0.237498427272628
PWY0.166	Sex	Male	-0.668716064771296	0.230023507542926	28	28	0.00753833426075308	0.237498427272628
RHAMCAT.PWY	Q22		-2.50799188212979	0.790176877976684	28	28	0.00396050870799809	0.237498427272628
DENOVOPURINE2.PWY	Sex	Male	-0.692232333964183	0.241368299982804	28	28	0.00827314036626891	0.246618374727826
P125.PWY	Sex	Male	2.37555256309397	0.843363935265468	28	26	0.00933498356601815	0.265622714196698
PWY.5910	Sex	Male	-1.46155095779591	0.545519694588881	28	28	0.0128622582909279	0.298213840374846
PWY.6396	Sex	Male	2.15744671022947	0.801204859817179	28	26	0.012465501629487	0.298213840374846
PWY.6396	Q22		-2.15500942106378	0.801204859817179	28	26	0.0125534786525161	0.298213840374846
PWY.922	Sex	Male	-1.5974019090257	0.586837468589918	28	28	0.0116473088978736	0.298213840374846
TRNA.CHARGING.PWY	Sex	Male	0.614335775838296	0.228011841663389	28	28	0.0124205437922551	0.298213840374846
P125.PWY	Q22		-2.19567542256925	0.843363935265468	28	26	0.0153035309703538	0.342143228122909
PWY.5705	Sex	Male	2.01093925829412	0.783822553483328	28	24	0.0166827214415391	0.360116676634603
GOLPDLCAT.PWY	Sex	Male	-2.10409241348194	0.83075698460399	28	27	0.0179687052869014	0.363028746224446
PWY.5104	Sex	Male	1.03512387471457	0.408731896970193	28	28	0.0179774618737346	0.363028746224446
ILEUSYN.PWY	Sex	Male	1.01312366923423	0.408531300840708	28	28	0.0202337362966613	0.379234273422792
PWY.5101	Sex	Male	1.03812961139777	0.423643576550636	28	28	0.021607910351433	0.379234273422792
PWY.7111	Sex	Male	1.03842168416463	0.424483720789965	28	28	0.0218089997495535	0.379234273422792
RIBOSYN2.PWY	Sex	Male	-0.895145324775815	0.362501395077939	28	28	0.020717106260426	0.379234273422792
VALSYN.PWY	Sex	Male	1.01312366923423	0.408531300840708	28	28	0.0202337362966613	0.379234273422792
X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY	Sex	Male	1.79066918014537	0.796937413164185	28	6	0.03371716940999	0.386550500135515
AEROBACTINSYN.PWY	Sex	Male	1.26231114783869	0.637575750421549	28	5	0.0588285122594162	0.386550500135515
ALL.CHORISMATE.PWY	Sex	Male	1.1646361536893	0.608159942357839	28	5	0.0669988626576801	0.386550500135515
ARGDEG.PWY	Sex	Male	1.11278193268539	0.562204001078225	28	5	0.0588927756209562	0.386550500135515
ASPASN.PWY	Sex	Male	0.687144217064205	0.325281813988528	28	28	0.0448071747001452	0.386550500135515
BRANCHED.CHAIN.AA.SYN.PWY	Sex	Male	0.968037859387559	0.432177881922763	28	28	0.0342290170326689	0.386550500135515
COA.PWY	Sex	Male	-0.402389220102228	0.169518753029291	28	28	0.0256060992559495	0.386550500135515
ECASYN.PWY	Sex	Male	1.00348319389205	0.528812565874453	28	5	0.0693534297202019	0.386550500135515
ENTBACSYN.PWY	Sex	Male	1.45052774220336	0.723977946319309	28	7	0.0560697414441489	0.386550500135515
GLUCOSE1PMETAB.PWY	Q22		2.2337924295203	1.10898229389578	28	15	0.0548594397164566	0.386550500135515
HEXITOLDEGSUPER.PWY	Sex	Male	1.21297154582536	0.602252241810837	28	28	0.0548833063661399	0.386550500135515
HOMOSER.METSYN.PWY	Q22		1.01836076004232	0.509857005062888	28	28	0.0567811966491049	0.386550500135515
HSERMETANA.PWY	Q22		1.15114991789729	0.559737569144123	28	28	0.0503046274403899	0.386550500135515
MET.SAM.PWY	Q22		1.01583096218125	0.510457306421969	28	28	0.0576287419872925	0.386550500135515
NONOXIPENT.PWY	Sex	Male	0.57518769680964	0.294051903840481	28	28	0.0617177064094521	0.386550500135515
ORNARGDEG.PWY	Sex	Male	1.11278193268539	0.562204001078225	28	5	0.0588927756209562	0.386550500135515
ORNDEG.PWY	Sex	Male	1.38302378370693	0.715492115021095	28	5	0.0646430232747894	0.386550500135515
P122.PWY	Sex	Male	-0.800041143827293	0.348554871272296	28	28	0.030380555005238	0.386550500135515
P124.PWY	Sex	Male	-0.752773990286728	0.335273244757032	28	28	0.0338390398485084	0.386550500135515
PENTOSE.P.PWY	Sex	Male	-0.692304418891178	0.302788784378012	28	28	0.0309697647340217	0.386550500135515
POLYISOPRENSYN.PWY	Sex	Male	-0.543745080849151	0.263757894326962	28	28	0.0497951747756587	0.386550500135515
PWY.1861	Sex	Male	1.49084546466048	0.785210780041415	28	28	0.0692106478236128	0.386550500135515
PWY.1861	Q22		1.5641072708908	0.785210780041415	28	28	0.0574051916450531	0.386550500135515
PWY.2941	Sex	Male	-0.82571277367065	0.361322743805423	28	28	0.0310486160902414	0.386550500135515
PWY.3001	Sex	Male	0.760852346029325	0.340233828490538	28	28	0.0344969361760411	0.386550500135515
PWY.5103	Sex	Male	1.05454892248001	0.447206090530245	28	28	0.0264992962492893	0.386550500135515
PWY.5347	Q22		0.919910543064169	0.452295862096676	28	28	0.0527065698520054	0.386550500135515
PWY.5384	Sex	Male	-1.13372584032113	0.585191306084633	28	28	0.0640779884523991	0.386550500135515
PWY.5676	Sex	Male	1.17806180752697	0.620318932023327	28	21	0.0691467247451442	0.386550500135515
PWY.5686	Sex	Male	-0.469432540389662	0.242533030996341	28	28	0.0643115041280412	0.386550500135515
PWY.5837	Q22		1.79463878011337	0.943999886499123	28	22	0.0688762051145612	0.386550500135515
PWY.5840	Q22		1.70449797511577	0.903922671120194	28	22	0.0710116733475786	0.386550500135515
PWY.5845	Sex	Male	1.12965050510289	0.572686171849844	28	8	0.0597039405237741	0.386550500135515
PWY.5850	Sex	Male	1.21068247418627	0.555650853366515	28	6	0.0389771017744001	0.386550500135515
PWY.5855	Sex	Male	2.17350664734996	1.05797535064765	28	17	0.0505314978812598	0.386550500135515
PWY.5856	Sex	Male	2.17350664734996	1.05797535064765	28	17	0.0505314978812598	0.386550500135515
PWY.5857	Sex	Male	2.17350664734996	1.05797535064765	28	17	0.0505314978812598	0.386550500135515
PWY.5860	Sex	Male	1.22065767352413	0.559955308970918	28	6	0.0388894147718527	0.386550500135515
PWY.5862	Sex	Male	1.13956353940344	0.576757975646219	28	8	0.0593121062343103	0.386550500135515
PWY.5863	Q22		1.7934938736959	0.943633979560816	28	22	0.0689412410377382	0.386550500135515
PWY.5896	Sex	Male	1.21068247418627	0.555650853366515	28	6	0.0389771017744001	0.386550500135515
PWY.5897	Q22		1.71437980398707	0.908198764610867	28	22	0.0707313896193925	0.386550500135515
PWY.5898	Q22		1.71437980398707	0.908198764610867	28	22	0.0707313896193925	0.386550500135515
PWY.5899	Q22		1.71437980398707	0.908198764610867	28	22	0.0707313896193925	0.386550500135515
PWY.5920	Sex	Male	2.00223266984246	0.872630961543488	28	13	0.0304352370129435	0.386550500135515
PWY.6071	Sex	Male	1.41229130877843	0.729626687871621	28	5	0.0642993089169871	0.386550500135515
PWY.6121	Sex	Male	-0.473553642084957	0.2339299628181	28	28	0.053743956914499	0.386550500135515
PWY.6122	Sex	Male	-0.483481425766484	0.234945300299999	28	28	0.0501745032985667	0.386550500135515
PWY.6123	Sex	Male	-0.475101879204968	0.210643471003695	28	28	0.0331048778838956	0.386550500135515
PWY.6126	Sex	Male	-0.25978470412542	0.125932958268952	28	28	0.0496568236675606	0.386550500135515
PWY.6147	Sex	Male	0.82450236407477	0.361002163392429	28	28	0.0311375060125811	0.386550500135515
PWY.6147	Q22		0.699363753707805	0.361002163392429	28	28	0.0640876330016301	0.386550500135515
PWY.6277	Sex	Male	-0.483481425766484	0.234945300299999	28	28	0.0501745032985667	0.386550500135515
PWY.6317	Sex	Male	-0.459930451862916	0.227541214265916	28	28	0.0540779291646439	0.386550500135515
PWY.6383	Sex	Male	1.68315906003293	0.850381050707584	28	11	0.0588952434277119	0.386550500135515
PWY.6470	Q22		-1.84563925158429	0.868418584665703	28	25	0.0436232187402033	0.386550500135515
PWY.6471	Sex	Male	-0.591301525491087	0.265892856298297	28	28	0.0354253842978076	0.386550500135515
PWY.6708	Sex	Male	2.17350664734996	1.05797535064765	28	17	0.0505314978812598	0.386550500135515
PWY.6737	Sex	Male	0.98821680997009	0.512952223618034	28	28	0.0654797379220241	0.386550500135515
PWY.6749	Sex	Male	2.36617028217993	1.03814457150201	28	15	0.0314547864371796	0.386550500135515
PWY.6891	Sex	Male	1.58869771940507	0.841702112101621	28	25	0.0707576793934662	0.386550500135515
PWY.6901	Sex	Male	-1.48527698962179	0.647657247089975	28	28	0.0305124549587794	0.386550500135515
