	chao1
109	132.55555555555554
681	162.53333333333333
408	133.33333333333334
411	137.52631578947367
561	190.53571428571428
569	131.80769230769232
570	212.0
675	192.71428571428572
690	155.10344827586206
704	172.0344827586207
708	152.57692307692307
729	286.3333333333333
732	138.0
741	182.0
747	170.58823529411765
749	148.47619047619048
750	161.0
781	145.3
782	18.0
786	183.07692307692307
814-COL	123.14285714285714
825-COL	136.23529411764707
828-COL	139.63636363636363
850-COL	227.66666666666666
865-FP-COL	172.53846153846155
868-FP-COL	194.5
968-COL	176.54545454545453
970-COL	163.0
