feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ARO.PWY	Sex	Male	1.60764112513434	0.472929173477043	28	28	0.00227061711076032	0.154740553725263
COMPLETE.ARO.PWY	Sex	Male	1.44933261544837	0.425177674065915	28	28	0.00221782695264451	0.154740553725263
GLYCOL.GLYOXDEG.PWY	Sex	Male	-3.03222949803467	0.958860166469887	28	26	0.00452092156547767	0.154740553725263
HISDEG.PWY	Sex	Male	1.99099483563547	0.522695275794591	28	28	0.00146896584113195	0.154740553725263
HISDEG.PWY	Q22		-2.1367257789953	0.687665367242344	28	28	0.00482159014824621	0.154740553725263
NONMEVIPP.PWY	Sex	Male	1.39349560287143	0.439711247378407	28	28	0.0040077141649938	0.154740553725263
P105.PWY	Q22		-3.64395522891897	0.933760135767875	28	14	0.00115975381174312	0.154740553725263
P125.PWY	Sex	Male	2.46928709114019	0.782782064556023	28	26	0.00543816642484951	0.154740553725263
P125.PWY	Q22		-2.86187645800362	0.887786977005485	28	26	0.0037891376160743	0.154740553725263
PWY.5121	Sex	Male	1.21901961878847	0.396126767283556	28	28	0.00501033206684843	0.154740553725263
PWY.5659	Sex	Male	1.32655652858802	0.425061423965759	28	28	0.00450812821859755	0.154740553725263
PWY.6125	Sex	Male	-0.842425942270881	0.270340423322151	28	28	0.00455985841818145	0.154740553725263
PWY.6163	Sex	Male	1.48323236166111	0.430649921497945	28	28	0.00203029981496752	0.154740553725263
PWY.6396	Q22		-2.66398319212568	0.840726360173228	28	26	0.0044763043699833	0.154740553725263
PWY.6545	Q22		1.88844470760919	0.596124588413649	28	27	0.00410759720930565	0.154740553725263
PWY.7184	Sex	Male	-0.963117135147158	0.307745560883258	28	28	0.00441335350077734	0.154740553725263
PWY.7197	Sex	Male	-1.01252414757671	0.313383147821677	28	28	0.00344421700362622	0.154740553725263
PWY.7228	Sex	Male	-0.862487776154518	0.282639652169168	28	28	0.00533301220169258	0.154740553725263
PWY.7560	Sex	Male	1.39349560287143	0.439711247378407	28	28	0.0040077141649938	0.154740553725263
PWY0.1061	Sex	Male	1.63997353646928	0.468768119639655	28	28	0.00226132311964453	0.154740553725263
PWY0.162	Sex	Male	-0.816478197242707	0.265879518920131	28	28	0.00508968303044767	0.154740553725263
RHAMCAT.PWY	Q22		-2.64239393551072	0.810817494360628	28	28	0.00374538506248366	0.154740553725263
HEXITOLDEGSUPER.PWY	Sex	Male	1.56562083776953	0.522334362398783	28	28	0.00694759513207261	0.169641733767395
PWY.6396	Sex	Male	2.27528494419143	0.757366128648457	28	26	0.00731387844117608	0.169641733767395
PWY.7187	Sex	Male	-0.664865066345807	0.228915540869515	28	28	0.00758780917809434	0.169641733767395
PWY.841	Sex	Male	-0.696789034083798	0.238184590657758	28	28	0.00721787226101711	0.169641733767395
PWY0.1533	Sex	Male	2.72216262980686	0.914543882298018	28	16	0.00657467295802442	0.169641733767395
PWY0.166	Sex	Male	-0.668716064771291	0.230023507542926	28	28	0.00753833426083762	0.169641733767395
DENOVOPURINE2.PWY	Sex	Male	-0.692232333964185	0.241368299982804	28	28	0.00827314036640022	0.178585719633329
PWY0.862	Q22		-2.87943256388252	1.01606421304669	28	24	0.00899420982248993	0.187679178295957
PWY.922	Sex	Male	-1.59740190902571	0.586837468589918	28	28	0.0116473088978726	0.235200495808653
PWY.5910	Sex	Male	-1.46155095779592	0.545519694588881	28	28	0.0128622582910548	0.236816873241186
PWY.6749	Sex	Male	2.65127670288533	0.971545732282349	28	15	0.012484280746862	0.236816873241186
TRNA.CHARGING.PWY	Sex	Male	0.614335775838293	0.228011841663389	28	28	0.0124205437921881	0.236816873241186
PWY.5705	Sex	Male	1.98226354638936	0.752855826461631	28	24	0.0150908331663081	0.269910330345968
GOLPDLCAT.PWY	Sex	Male	-2.10409241348193	0.83075698460399	28	27	0.0179687052867841	0.309872342753789
PWY.5104	Sex	Male	1.03459090514291	0.408242530105267	28	28	0.0183151384694732	0.309872342753789
ILEUSYN.PWY	Sex	Male	1.01671626815641	0.405961854124788	28	28	0.0197627325370767	0.314823270082579
PWY.5101	Sex	Male	1.04328211342896	0.419409016444138	28	28	0.0206302768276069	0.314823270082579
PWY.7111	Sex	Male	1.04355323264574	0.421755940996052	28	28	0.0211223280247098	0.314823270082579
RIBOSYN2.PWY	Sex	Male	-0.895145324775818	0.362501395077939	28	28	0.0207171062606339	0.314823270082579
VALSYN.PWY	Sex	Male	1.01671626815641	0.405961854124788	28	28	0.0197627325370767	0.314823270082579
PWY.5103	Sex	Male	1.06126744593025	0.44036699417569	28	28	0.0245931561361628	0.35803059863344
COA.PWY	Sex	Male	-0.402389220102229	0.169518753029291	28	28	0.0256060992561796	0.36116286966144
PWY.7199	Sex	Male	1.25586823289665	0.528386363422963	28	28	0.0259621871162377	0.36116286966144
BRANCHED.CHAIN.AA.SYN.PWY	Sex	Male	0.976973252705688	0.424783399149621	28	28	0.0311985540968011	0.37078960493206
P122.PWY	Sex	Male	-0.800041143827295	0.348554871272296	28	28	0.0303805550053975	0.37078960493206
PENTOSE.P.PWY	Sex	Male	-0.659347337835247	0.288719408436965	28	28	0.0327001854449011	0.37078960493206
PWY.2941	Sex	Male	-0.825712773670652	0.361322743805423	28	28	0.0310486160904901	0.37078960493206
PWY.3001	Sex	Male	0.766074895262071	0.338284597817983	28	28	0.033169677118523	0.37078960493206
PWY.5188	Q22		0.983823683523846	0.428215729316561	28	28	0.0303102943843484	0.37078960493206
PWY.5189	Q22		0.999210239615765	0.437020127070727	28	28	0.0310709278925341	0.37078960493206
PWY.6123	Sex	Male	-0.475101879204967	0.210643471003695	28	28	0.0331048778840289	0.37078960493206
