feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Cyanobacteria	Sex	Female	-1.47969984821395	0.713911096959723	28	23	0.0507334028030312	0.40586722242425
k__Bacteria.p__	Sex	Female	0.876992121039585	0.380147839348012	28	11	0.0329487235694588	0.40586722242425
k__Bacteria.p__Bacteroidota	Sex	Female	-0.190991870006277	0.227487856598941	28	27	0.410676224549423	0.810334151010965
k__Bacteria.p__Desulfobacterota	Sex	Female	-0.479904859347819	0.742265985830869	28	26	0.523821349917206	0.810334151010965
k__Bacteria.p__Desulfobacterota	Q22	KO	0.441745844491125	0.742265985830869	28	26	0.557104728820038	0.810334151010965
k__Bacteria.p__Actinobacteriota	Sex	Female	-0.738486188056002	0.829027713456244	28	28	0.381537054900803	0.810334151010965
k__Bacteria.p__Actinobacteriota	Q22	KO	0.608732217814651	0.829027713456244	28	28	0.469614145078044	0.810334151010965
k__Bacteria.p__Verrucomicrobiota	Q22	KO	1.20268248416574	1.04687251609447	28	10	0.261497950426119	0.810334151010965
k__Bacteria.p__Proteobacteria	Q22	KO	-0.488300084353857	0.70965524538449	28	28	0.497737369746987	0.810334151010965
k__Bacteria.p__Cyanobacteria	Q22	KO	0.681661890753432	0.786986274790763	28	23	0.395482594047753	0.810334151010965
k__Bacteria.p__	Q22	KO	-0.604667971544638	0.476929824209995	28	11	0.216558254495001	0.810334151010965
k__Bacteria.p__Verrucomicrobiota	Sex	Female	0.53104183914682	1.04687251609447	28	10	0.616414596684438	0.821886128912584
k__Bacteria.p__Firmicutes	Q22	KO	0.0878241483452273	0.202607957327242	28	28	0.66839188550779	0.822636166778818
k__Bacteria.p__Firmicutes	Sex	Female	-0.0479848387360397	0.202607957327242	28	28	0.814714005993406	0.869028273059633
k__Bacteria.p__Proteobacteria	Sex	Female	0.21178813144878	0.70965524538449	28	28	0.767835318398071	0.869028273059633
k__Bacteria.p__Bacteroidota	Q22	KO	0.0242487205937101	0.257630201582348	28	27	0.925802173146901	0.925802173146901
