	pielou_evenness
109	0.6499318848319124
681	0.7312856807545769
408	0.7317038296293151
411	0.7045958020163458
561	0.7588154100868181
569	0.7395306802915678
570	0.7930342201759396
675	0.6110697764408278
690	0.6346481538559327
704	0.6166286799546881
708	0.6628857405362084
729	0.6544029059368054
732	0.6911169039707825
741	0.6910400247547893
747	0.6383034341315362
749	0.6984200461184819
750	0.7799507819632049
781	0.47132438075824884
782	0.8798649820551049
786	0.6831624441356321
814-COL	0.6894932402940301
825-COL	0.7203402672506213
828-COL	0.6935221415987042
850-COL	0.8112146435168317
865-FP-COL	0.6647478227047061
868-FP-COL	0.8001280567787433
968-COL	0.7412892211123754
970-COL	0.7659592857121355
