	chao1
109-FP-ILE	70.1
408-ILE	81.0
411-ILE	37.6
561-ILE	44.0
569-ILE	96.5
570-ILE	85.33333333333333
675-FP-ILE	117.73076923076923
681-FP-ILE	76.0
690-FP-ILE	37.75
704-ILE	12.0
708-ILE	88.16666666666667
729-ILE	57.333333333333336
732-ILE	38.0
747-ILE	83.0
741-ILE	58.625
749-ILE	54.25
750-ILE	43.5
781-FP-ILE	72.76923076923077
782-FP-ILE	69.11111111111111
786-FP-ILE	87.36363636363636
814-ILE	39.5
825-ILE	45.0
828-ILE	52.857142857142854
850-ILE	89.625
865-FP-ILE	38.2
868-FP-ILE	57.0
968-ILE	243.0
970-ILE	14.0
