	shannon_entropy
109	4.527285309462945
681	5.341150276512866
408	5.154410154552807
411	4.963450524248599
561	5.6727017291185025
569	5.201432097105351
570	5.991047478740023
675	4.5066636965554565
690	4.543999125732413
704	4.492387953155984
708	4.766032177038598
729	5.066038492114754
732	4.806162623639617
741	5.114303908855652
747	4.582960628908766
749	4.993526712939943
750	5.682255157518079
781	3.2831439644639
782	3.668970986565173
786	5.026403210329909
814-COL	4.719919116626183
825-COL	4.975311417511444
828-COL	4.877834582795838
850-COL	6.274509707277711
865-FP-COL	4.855172349863279
868-FP-COL	5.98801097515255
968-COL	5.454073994797136
970-COL	5.594398684871781
